model,cv_pr_auc_mean,cv_pr_auc_std,precision,recall,test_f1,roc_auc,pr_auc,ks,recall_at_5,lift_at_5,brier,train_test_gap,threshold
ExtraTrees,0.8371,0.0235,0.9318,0.8632,0.8962,0.9669,0.8817,0.909,0.9368,559.6001,0.0003,0.0004,0.21
RandomForest,0.8349,0.0263,0.9302,0.8421,0.884,0.9672,0.8711,0.9198,0.9368,559.6001,0.0004,0.0004,0.34
LogisticRegression,0.8065,0.0313,0.8864,0.8211,0.8525,0.9857,0.8352,0.9092,0.9474,565.8878,0.0004,0.0001,0.5295
NeuralNet,0.7698,0.046,0.8778,0.8316,0.8541,0.9774,0.8208,0.8987,0.9158,547.0248,0.0005,0.0001,0.3204
SGD,0.7402,0.0364,0.8681,0.8316,0.8495,0.9865,0.7993,0.8947,0.9368,559.6001,0.0008,0.0001,0.0
GaussianNB,0.6846,0.0266,0.8478,0.8211,0.8342,0.9796,0.7368,0.8861,0.9158,547.0248,0.0021,0.0001,1.0
DecisionTree,0.5097,0.0721,0.7475,0.7789,0.7629,0.8893,0.5826,0.7785,0.7895,471.5731,0.0008,0.0008,1.0
